Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
76,7/18/22,22.8,39,2:15 PM,Ros,None,UV,Y,7.3,,,
77,7/18/22,22.8,39,2:15 PM,Ros,UV,None,Y,12.5,,,
78,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,17.6,,,
79,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,N,6.9,,,
80,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,12.0,,,
81,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,6.8,,,
82,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,Y,11.4,,,
83,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,Y,9.7,,,
84,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,7.9,,,
85,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,N,5.4,,,
86,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,8.3,,,
87,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,N,6.2,,,
88,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,Y,6.8,,,
89,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,Y,7.9,,,
90,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,N,11.0,,,
91,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,Y,9.6,,,
92,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,Y,4.7,,,
93,7/18/22,22.8,39,3:00 PM,Jane,UV,None,N,14.7,,,
94,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,8.1,,,
95,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,3.4,,,
96,7/18/22,22.8,39,3:00 PM,Jane,None,UV,N,6.1,,,
97,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,9.2,,,
98,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,7.0,,,
99,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,6.6,,,
100,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,4.6,,,
101,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,3.9,,,
102,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,10.1,,,
103,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,6.5,,,
104,7/18/22,22.8,39,3:00 PM,Jane,UV,None,N,8.8,,,
105,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,11.6,,,
106,7/18/22,22.8,39,3:15 PM,Jane,None,UV,Y,7.5,,,
107,7/18/22,22.8,39,3:15 PM,Jane,UV,None,N,10.1,,,
108,7/18/22,22.8,39,3:15 PM,Tesla,None,UV,Y,10.3,,,
109,7/18/22,22.8,39,3:15 PM,Tesla,None,UV,Y,25.1,,,
110,7/18/22,22.8,39,3:15 PM,Tesla,None,UV,N,7.1,,,
111,7/18/22,22.8,39,3:15 PM,Tesla,UV,None,Y,41.4,,,
112,7/18/22,22.8,39,3:15 PM,Tesla,None,UV,N,7.2,,,
113,7/18/22,22.8,39,3:30 PM,Tesla,None,UV,Y,8.6,,,
114,7/18/22,22.8,39,3:30 PM,Tesla,None,UV,Y,7.4,,,
115,7/18/22,22.8,39,3:30 PM,Tesla,UV,None,Y,12.5,,,
116,7/18/22,22.8,39,3:30 PM,Tesla,None,UV,Y,6.0,,,
117,7/18/22,22.8,39,3:30 PM,Tesla,UV,None,N,24.2,,,
118,7/18/22,22.8,39,3:30 PM,Tesla,None,UV,Y,15.6,,,
119,7/18/22,22.8,39,3:30 PM,Tesla,UV,None,Y,22.7,,,
120,7/18/22,22.8,39,3:30 PM,Tesla,UV,None,Y,20.2,,,
121,7/18/22,22.8,39,3:30 PM,Tesla,None,UV,Y,13.8,,,
122,7/18/22,22.8,39,3:30 PM,Tesla,UV,None,Y,58.6,,,
123,7/18/22,22.8,39,3:45 PM,Tesla,None,UV,Y,93.1,,,
124,7/19/22,22.8,32,2:00 PM,Frankie,UV,None,N,31.7,,,
125,7/19/22,22.8,32,2:00 PM,Frankie,None,UV,Y,8.7,,,
126,7/19/22,22.8,32,2:00 PM,Frankie,UV,None,Y,6.9,,,
127,7/19/22,22.8,32,2:00 PM,Frankie,UV,None,N,14.4,,,
128,7/19/22,22.8,32,2:00 PM,Frankie,UV,None,Y,4.2,,,
129,7/19/22,22.8,32,2:00 PM,Frankie,None,UV,N,6.6,,,
130,7/19/22,22.8,32,2:00 PM,Frankie,UV,None,Y,5.9,,,
131,7/19/22,22.8,32,2:15 PM,Frankie,None,UV,Y,6.8,,,
132,7/19/22,22.8,32,2:15 PM,Frankie,None,UV,N,6.6,,,
133,7/19/22,22.8,32,2:15 PM,Frankie,None,UV,N,29.2,,,
134,7/19/22,22.8,32,2:15 PM,Frankie,UV,None,Y,19.6,,,
135,7/19/22,22.8,32,2:15 PM,Frankie,None,UV,Y,52.2,,,
136,7/19/22,22.8,32,2:15 PM,Frankie,UV,None,Y,11.7,,,
137,7/19/22,22.8,32,2:15 PM,Frankie,None,UV,Y,14.6,,,
138,7/19/22,22.8,32,2:15 PM,Frankie,UV,None,Y,7.4,,,
139,7/19/22,22.8,32,2:30 PM,Jane,UV,None,Y,5.7,,,
140,7/19/22,22.8,32,2:30 PM,Jane,UV,None,Y,6.4,,,
141,7/19/22,22.8,32,2:30 PM,Jane,UV,None,N,10.2,,,
142,7/19/22,22.8,32,2:30 PM,Jane,None,UV,Y,8.4,,,
143,7/19/22,22.8,32,2:30 PM,Jane,None,UV,Y,11.0,,,
144,7/19/22,22.8,32,2:30 PM,Jane,UV,None,Y,5.5,,,
145,7/19/22,22.8,32,2:30 PM,Jane,UV,None,Y,6.2,,,
146,7/19/22,22.8,32,2:30 PM,Jane,None,UV,N,5.7,,,
147,7/19/22,22.8,32,2:45 PM,Jane,UV,None,Y,7.2,,,
148,7/19/22,22.8,32,2:45 PM,Jane,None,UV,N,6.7,,,
149,7/19/22,22.8,32,2:45 PM,Jane,UV,None,N,5.2,,,
150,7/19/22,22.8,32,2:45 PM,Jane,UV,None,Y,3.7,,,
151,7/19/22,22.8,32,2:45 PM,Jane,None,UV,Y,4.7,,,
152,7/19/22,22.8,32,2:45 PM,Jane,None,UV,Y,12.3,,,
153,7/19/22,22.8,32,2:45 PM,Jane,None,UV,Y,5.3,,,
154,7/20/22,23.0,30,2:15 PM,Tesla,None,UV,Y,67.5,,,
155,7/20/22,23.0,30,2:15 PM,Tesla,None,UV,Y,145.5,,,
156,7/20/22,23.0,30,2:15 PM,Tesla,UV,None,N,9.0,,,
157,7/20/22,23.0,30,2:30 PM,Tesla,UV,None,N,31.6,,,
158,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,Y,13.3,,,
159,7/20/22,23.0,30,2:30 PM,Tesla,UV,None,Y,17.1,,,
160,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,N,15.7,,,
161,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,Y,6.0,,,
162,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,Y,19.6,,,
163,7/20/22,23.0,30,2:30 PM,Tesla,UV,None,Y,10.9,Noise- Door opening right outside of testing door,,
164,7/20/22,23.0,30,2:30 PM,Tesla,UV,None,Y,28.3,,,
165,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,Y,9.4,,,
166,7/20/22,23.0,30,2:30 PM,Tesla,None,UV,Y,8.8,,,
167,7/20/22,23.0,30,2:45 PM,Tesla,UV,None,N,18.2,,,
168,7/20/22,23.0,30,2:45 PM,Tesla,UV,None,N,8.7,,,
169,7/20/22,23.0,30,2:45 PM,Ros,None,UV,Y,5.8,,,
170,7/20/22,23.0,30,2:45 PM,Ros,UV,None,N,9.7,,,
171,7/20/22,23.0,30,2:45 PM,Ros,UV,None,Y,4.8,,,
172,7/20/22,23.0,30,2:45 PM,Ros,None,UV,Y,8.2,,,
173,7/20/22,23.0,30,3:00 PM,Ros,UV,None,N,21.1,,,
174,7/20/22,23.0,30,3:00 PM,Ros,UV,None,Y,4.8,,,
175,7/20/22,23.0,30,3:00 PM,Ros,None,UV,Y,4.9,,,
176,7/20/22,23.0,30,3:00 PM,Ros,None,UV,N,9.4,,,
