Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
5,6,5/17/2023,24.1,19,4:50 PM,Jane,Y 1/3,G 3/3,Y,5.65,,,,,,,,,,,,,,,,,
5,7,5/17/2023,24.1,19,4:51 PM,Jane,G 2/3,Y 2/3,Y,3.30,,,,,,,,,,,,,,,,,
5,8,5/17/2023,24.1,19,4:52 PM,Jane,G 3/3,Y 2/3,Y,3.13,,,,,,,,,,,,,,,,,
5,9,5/17/2023,24.1,19,4:54 PM,Jane,Y 1/3,G 1/3,N,2.45,,,,,,,,,,,,,,,,,
5,1,5/17/2023,24.1,19,5:01 PM,Tesla,G 1/3,Y 1/3,Y,5.12,,,,,,,,,,,,,,,,,
5,2,5/17/2023,24.1,19,5:03 PM,Tesla,G 3/3,Y 1/3,Y,4.51,,,,,,,,,,,,,,,,,
5,3,5/17/2023,24.1,19,5:04 PM,Tesla,Y 3/3,G 3/3,Y,6.67,,,,,,,,,,,,,,,,,
5,4,5/17/2023,24.1,19,5:06 PM,Tesla,G 1/3,Y 2/3,Y,3.73,,,,,,,,,,,,,,,,,
5,5,5/17/2023,24.1,19,5:07 PM,Tesla,G 2/3,Y 3/3,Y,3.57,,,,,,,,,,,,,,,,,
5,6,5/17/2023,24.1,19,5:08 PM,Tesla,Y 1/3,G 2/3,Y,7.45,,,,,,,,,,,,,,,,,
5,7,5/17/2023,24.1,19,5:10 PM,Tesla,Y 2/3,G 3/3,Y,2.97,,,,,,,,,,,,,,,,,
5,8,5/17/2023,24.1,19,5:12 PM,Tesla,G 2/3,Y 2/3,Y,2.27,,,,,,,,,,,,,,,,,
5,9,5/17/2023,24.1,19,5:13 PM,Tesla,G 1/3,Y 3/3,Y,4.05,,,,,,,,,,,,,,,,,
8,1,5/22/2023,24,23,4:09 PM,Ros,Y 2/3,G 3/3,Y,101.64,,,,,,,,,,,,,,,,,
8,2,5/22/2023,24,23,4:12 PM,Ros,Y 3/3,G 2/3,Y,14.37,,,,,,,,,,,,,,,,,
8,3,5/22/2023,24,23,4:13 PM,Ros,G 1/3,Y 1/3,Y,19.59,,,,,,,,,,,,,,,,,
8,4,5/22/2023,24,23,4:15 PM,Ros,Y 3/3,G 1/3,Y,6.23,,,,,,,,,,,,,,,,,
8,5,5/22/2023,24,23,4:17 PM,Ros,G 1/3,Y 2/3,Y,19.10,,,,,,,,,,,,,,,,,
8,6,5/22/2023,24,23,4:18 PM,Ros,Y 3/3,G 3/3,Y,26.48,,,,,,,,,,,,,,,,,
8,7,5/22/2023,24,23,4:21 PM,Ros,G 2/3,Y 2/3,Y,23.98,,,,,,,,,,,,,,,,,
8,8,5/22/2023,24,23,4:26 PM,Ros,Y 1/3,G 2/3,N,19.18,,,,,,,,,,,,,,,,,
8,9,5/22/2023,24,23,4:30 PM,Ros,G 3/3,Y 1/3,Y,114.19,,,,,,,,,,,,,,,,,
8,1,5/22/2023,24,23,4:37 PM,Jane,G 2/3,Y 2/3,Y,6.93,,,,,,,,,,,,,,,,,
8,2,5/22/2023,24,23,4:38 PM,Jane,G 3/3,Y 1/3,N,5.66,,,,,,,,,,,,,,,,,
8,3,5/22/2023,24,23,4:39 PM,Jane,G 2/3,Y 1/3,Y,3.15,,,,,,,,,,,,,,,,,
8,4,5/22/2023,24,23,4:40 PM,Jane,Y 2/3,G 1/3,N,3.36,,,,,,,,,,,,,,,,,
8,5,5/22/2023,24,23,4:41 PM,Jane,G 3/3,Y 3/3,Y,6.55,,,,,,,,,,,,,,,,,
8,6,5/22/2023,24,23,4:43 PM,Jane,G 1/3,Y 1/3,Y,3.63,,,,,,,,,,,,,,,,,
8,7,5/22/2023,24,23,4:44 PM,Jane,G 1/3,Y 3/3,Y,7.18,,,,,,,,,,,,,,,,,
8,8,5/22/2023,24,23,4:46 PM,Jane,Y 3/3,G 2/3,Y,7.00,,,,,,,,,,,,,,,,,
8,9,5/22/2023,24,23,4:47 PM,Jane,G 3/3,Y 2/3,N,5.83,,,,,,,,,,,,,,,,,
8,1,5/22/2023,24,23,4:53 PM,Tesla,G 3/3,Y 1/3,Y,8.73,,,,,,,,,,,,,,,,,
8,2,5/22/2023,24,23,4:54 PM,Tesla,Y 2/3,G 1/3,Y,2.36,,,,,,,,,,,,,,,,,
8,3,5/22/2023,24,23,4:55 PM,Tesla,G 2/3,Y 1/3,Y,4.30,,,,,,,,,,,,,,,,,
8,4,5/22/2023,24,23,4:56 PM,Tesla,Y 2/3,G 2/3,Y,5.73,,,,,,,,,,,,,,,,,
8,5,5/22/2023,24,23,4:58 PM,Tesla,G 3/3,Y 3/3,Y,5.38,,,,,,,,,,,,,,,,,
8,6,5/22/2023,24,23,4:59 PM,Tesla,Y 2/3,G 3/3,Y,5.68,,,,,,,,,,,,,,,,,
8,7,5/22/2023,24,23,5:01 PM,Tesla,Y 3/3,G 2/3,Y,4.49,,,,,,,,,,,,,,,,,
8,8,5/22/2023,24,23,5:02 PM,Tesla,Y 1/3,G 1/3,Y,6.81,,,,,,,,,,,,,,,,,
8,9,5/22/2023,24,23,5:03 PM,Tesla,G 1/3,Y 3/3,Y,5.46,,,,,,,,,,,,,,,,,
11,1,5/26/2023,24.1,19,4:09 PM,Tesla,Y 3/3,G 3/3,Y,31.73,,,,,,,,,,,,,,,,,
