Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
6,6,5/18/2023,24.4,19,4:00 PM,Ros,Y 1/3,Y 2/3,Y,5.37,,,,,,,,,,,,,,,,,
6,7,5/18/2023,24.4,19,4:01 PM,Ros,Y 1/3,Y 1/3,Y,6.97,,,,,,,,,,,,,,,,,
6,8,5/18/2023,24.4,19,4:03 PM,Ros,Y 2/3,Y 1/3,Y,4.20,,,,,,,,,,,,,,,,,
6,9,5/18/2023,24.4,19,4:05 PM,Ros,Y 3/3,Y 2/3,Y,3.18,,,,,,,,,,,,,,,,,
6,1,5/18/2023,24.4,19,4:12 PM,Tesla,Y 2/3,Y 1/3,N,19.59,,,,,,,,,,,,,,,,,
6,2,5/18/2023,24.4,19,4:13 PM,Tesla,Y 3/3,Y 3/3,Y,6.68,,,,,,,,,,,,,,,,,
6,3,5/18/2023,24.4,19,4:16 PM,Tesla,Y 2/3,Y 2/3,Y,45.30,,,,,,,,,,,,,,,,,
6,4,5/18/2023,24.4,19,4:17 PM,Tesla,Y 1/3,Y 2/3,N,3.46,,,,,,,,,,,,,,,,,
6,5,5/18/2023,24.4,19,4:20 PM,Tesla,Y 2/3,Y 3/3,N,48.98,,,,,,,,,,,,,,,,,
6,6,5/18/2023,24.4,19,4:22 PM,Tesla,Y 1/3,Y 3/3,Y,4.83,,,,,,,,,,,,,,,,,
6,7,5/18/2023,24.4,19,4:22 PM,Tesla,Y 3/3,Y 2/3,N,2.65,,,,,,,,,,,,,,,,,
6,8,5/18/2023,24.4,19,4:24 PM,Tesla,Y 1/3,Y 1/3,Y,9.51,,,,,,,,,,,,,,,,,
6,9,5/18/2023,24.4,19,4:25 PM,Tesla,Y 3/3,Y 1/3,N,3.14,,,,,,,,,,,,,,,,,
9,1,5/23/2023,23.6,24,3:38 PM,Tesla,Y 2/3,Y 1/3,N,22.40,,,,,,,,,,,,,,,,,
9,2,5/23/2023,23.6,24,3:39 PM,Tesla,Y 2/3,Y 3/3,N,16.03,,,,,,,,,,,,,,,,,
9,3,5/23/2023,23.6,24,3:40 PM,Tesla,Y 2/3,Y 2/3,N,5.42,,,,,,,,,,,,,,,,,
9,4,5/23/2023,23.6,24,3:41 PM,Tesla,Y 1/3,Y 3/3,Y,4.70,,,,,,,,,,,,,,,,,
9,5,5/23/2023,23.6,24,3:42 PM,Tesla,Y 1/3,Y 1/3,N,6.79,,,,,,,,,,,,,,,,,
9,6,5/23/2023,23.6,24,3:44 PM,Tesla,Y 3/3,Y 2/3,Y,6.28,,,,,,,,,,,,,,,,,
9,7,5/23/2023,23.6,24,3:45 PM,Tesla,Y 3/3,Y 3/3,N,5.00,,,,,,,,,,,,,,,,,
9,8,5/23/2023,23.6,24,3:46 PM,Tesla,Y 3/3,Y 1/3,Y,30.89,,,,,,,,,,,,,,,,,
9,9,5/23/2023,23.6,24,3:49 PM,Tesla,Y 1/3,Y 2/3,Y,45.23,,,,,,,,,,,,,,,,,
9,1,5/23/2023,23.6,24,3:56 PM,Jane,Y 3/3,Y 3/3,N,14.16,,,,,,,,,,,,,,,,,
9,2,5/23/2023,23.6,24,3:56 PM,Jane,Y 3/3,Y 1/3,Y,5.22,,,,,,,,,,,,,,,,,
9,3,5/23/2023,23.6,24,3:58 PM,Jane,Y 2/3,Y 2/3,N,4.60,,,,,,,,,,,,,,,,,
9,4,5/23/2023,23.6,24,3:59 PM,Jane,Y 2/3,Y 3/3,N,5.11,,,,,,,,,,,,,,,,,
9,5,5/23/2023,23.6,24,4:00 PM,Jane,Y 3/3,Y 2/3,Y,5.98,,,,,,,,,,,,,,,,,
9,6,5/23/2023,23.6,24,4:01 PM,Jane,Y 1/3,Y 3/3,N,5.41,,,,,,,,,,,,,,,,,
9,7,5/23/2023,23.6,24,4:02 PM,Jane,Y 1/3,Y 1/3,Y,4.60,,,,,,,,,,,,,,,,,
9,8,5/23/2023,23.6,24,4:04 PM,Jane,Y 2/3,Y 1/3,N,6.31,,,,,,,,,,,,,,,,,
9,9,5/23/2023,23.6,24,4:05 PM,Jane,Y 1/3,Y 2/3,Y,6.01,,,,,,,,,,,,,,,,,
9,1,5/23/2023,23.6,24,4:12 PM,Ros,Y 3/3,Y 1/3,N,36.89,,,,,,,,,,,,,,,,,
9,2,5/23/2023,23.6,24,4:13 PM,Ros,Y 3/3,Y 3/3,N,7.73,,,,,,,,,,,,,,,,,
9,3,5/23/2023,23.6,24,4:15 PM,Ros,Y 2/3,Y 3/3,Y,12.18,,,,,,,,,,,,,,,,,
9,4,5/23/2023,23.6,24,4:16 PM,Ros,Y 2/3,Y 2/3,Y,15.25,,,,,,,,,,,,,,,,,
9,5,5/23/2023,23.6,24,4:18 PM,Ros,Y 3/3,Y 2/3,Y,7.10,,,,,,,,,,,,,,,,,
9,6,5/23/2023,23.6,24,4:19 PM,Ros,Y 1/3,Y 1/3,N,10.28,,,,,,,,,,,,,,,,,
9,7,5/23/2023,23.6,24,4:21 PM,Ros,Y 1/3,Y 3/3,N,25.83,,,,,,,,,,,,,,,,,
9,8,5/23/2023,23.6,24,4:22 PM,Ros,Y 1/3,Y 2/3,Y,32.15,,,,,,,,,,,,,,,,,
9,9,5/23/2023,23.6,24,4:25 PM,Ros,Y 2/3,Y 1/3,N,85.74,,,,,,,,,,,,,,,,,
12,1,5/27/2023,24.1,17,4:43 PM,Tesla,Y 2/3,Y 3/3,Y,40.09,,,,,,,,,,,,,,,,,
12,2,5/27/2023,24.1,17,4:45 PM,Tesla,Y 2/3,Y 1/3,N,8.02,,,,,,,,,,,,,,,,,
12,3,5/27/2023,24.1,17,4:46 PM,Tesla,Y 2/3,Y 2/3,Y,3.65,,,,,,,,,,,,,,,,,
12,4,5/27/2023,24.1,17,4:47 PM,Tesla,Y 3/3,Y 2/3,N,3.68,,,,,,,,,,,,,,,,,
12,5,5/27/2023,24.1,17,4:50 PM,Tesla,Y 1/3,Y 3/3,Y,39.05,,,,,,,,,,,,,,,,,
12,6,5/27/2023,24.1,17,4:51 PM,Tesla,Y 3/3,Y 3/3,Y,4.25,,,,,,,,,,,,,,,,,
12,7,5/27/2023,24.1,17,4:53 PM,Tesla,Y 3/3,Y 1/3,N,36.67,,,,,,,,,,,,,,,,,
12,8,5/27/2023,24.1,17,4:55 PM,Tesla,Y 1/3,Y 2/3,N,6.42,,,,,,,,,,,,,,,,,
